  1 This software and database is being provided to you, the LICENSEE, by  
  2 Princeton University under the following license.  By obtaining, using  
  3 and/or copying this software and database, you agree that you have  
  4 read, understood, and will comply with these terms and conditions.:  
  5   
  6 Permission to use, copy, modify and distribute this software and  
  7 database and its documentation for any purpose and without fee or  
  8 royalty is hereby granted, provided that you agree to comply with  
  9 the following copyright notice and statements, including the disclaimer,  
  10 and that the same appear on ALL copies of the software, database and  
  11 documentation, including modifications that you make for internal  
  12 use or for distribution.  
  13   
  14 WordNet 3.0 Copyright 2006 by Princeton University.  All rights reserved.  
  15   
  16 THIS SOFTWARE AND DATABASE IS PROVIDED "AS IS" AND PRINCETON  
  17 UNIVERSITY MAKES NO REPRESENTATIONS OR WARRANTIES, EXPRESS OR  
  18 IMPLIED.  BY WAY OF EXAMPLE, BUT NOT LIMITATION, PRINCETON  
  19 UNIVERSITY MAKES NO REPRESENTATIONS OR WARRANTIES OF MERCHANT-  
  20 ABILITY OR FITNESS FOR ANY PARTICULAR PURPOSE OR THAT THE USE  
  21 OF THE LICENSED SOFTWARE, DATABASE OR DOCUMENTATION WILL NOT  
  22 INFRINGE ANY THIRD PARTY PATENTS, COPYRIGHTS, TRADEMARKS OR  
  23 OTHER RIGHTS.  
  24   
  25 The name of Princeton University or Princeton may not be used in  
  26 advertising or publicity pertaining to distribution of the software  
  27 and/or database.  Title to copyright in this software, database and  
  28 any associated documentation shall at all times remain with  
  29 Princeton University and LICENSEE agrees to preserve same.  
aardwolves aardwolf
calyces calyx
cambia cambium
camerae camera
canaliculi canaliculus
candelabra candelabrum
canthi canthus
capita caput
capitula capitulum
capricci capriccio
carbonadoes carbonado
carcinomata carcinoma
cargoes cargo
carides caryatid
carinae carina
caroli Carolus
carpi carpus
caryopsides caryopses caryopsis
castrati castrato
catalyses catalysis
catenae catena
catfishes catfish
cathexes cathexis
cattaloes cattalo
caudices caudex
cavetti cavetto
ceca cecum
cembali cembalo
centesimi centesimo
centra centrum
cercariiae cercariae cercaria
cerebella cerebellum
cerebra cerebrum
cervices cervix
chaetae chaeta
chaises_longues chaise_longue
chalazae chalaza
chapaties chapati
chapatties chapatti
chapeaux chapeau
chasidim Chasid
chassidim Chassid
chateaux chateau
chelae chela
chelicerae chelicera
cherubim cherub
chevaux-de-frise cheval-de-frise
chiasmata chiasma
chiasmi chiasmus
children child
chillies chilli
chlamyses chlamydes chlamys
chondromata chondroma
choragi choragus
choux chou
chrysalides chrysalis
chuvashes Chuvash
cicadae cicada
cicale cicala
cicatrices cicatrix
ciceroni cicerone
cilia cilium
cimices Cimex
cineraria cinerarium
cingula cingulum
cirri cirrus
cirrocumuli cirrocumulus
cirrostrati cirrostratus
ciscoes cisco
cisternae cisterna
claroes claro
clepsydrae clepsydra
clingfishes clingfish
cloacae cloaca
clostridia clostridium
cloverleaves cloverleaf
clypei clypeus
coagula coagulum
cocci coccus
coccyges coccyx
cochleae cochlea
codfishes codfish
codices codex
coelentera coelenteron
cognomina cognomen
colloquia colloquium
collyria collyrium
colones cola colon
colossi colossus
columbaria columbarium
columellae columella
comae coma
comatulae Comatula
comedones comedo
comics comic
comics comic_strip
commandoes commando
concerti concerto
concerti_grossi concerto_grosso
conchae concha
confervae conferva
congii congius
conidia conidium
conjunctivae conjunctiva
conquistadores conquistador
consortia consortium
continua continuum
contralti contralto
convolvuli convolvulus
copulae copula
coria corium
corneae cornea
cornua cornu
coronae corona
corpora corpus
corpora_lutea corpus_luteum
corpora_striata corpus_striatum
corrigenda corrigendum
cortices cortex
cortinae cortina
costae costa
cowfishes cowfish
coxae coxa
crania cranium
crawfishes crawfish
crayfishes crayfish
credenda credendum
crematoria crematorium
crescendi crescendo
crises crisis
criteria criterion
cruces crux
crura crus
cryings crying cry
ctenidia ctenidium
culices Culex
culti cultus
cumuli cumulus
cumulonimbi cumulonimbus
curiae Curia
curricula curriculum
cutes cutis
cuticulae cuticula
cuttlefishes cuttlefish
cyclopes cyclops
cycloses cyclosis
cylikes cylices cylix
cymae cyma
cymatia cymatium
dadoes dado
dagoes dago
damselfishes damselfish
data datum
daughters-in-law daughter-in-law
dealfishes dealfish
decennia decennium
deciduae decidua
delphinia delphinium
dermatoses dermatosis
desiderata desideratum
desperadoes desperado
devilfishes devilfish
diaerses diaereses diaeresis
diagnoses diagnosis
dialyses dialysis
diaphyses diaphysis
diarthroses diarthrosis
diastases diastasis
diastemata diastema
diathses diathesis
dibbukkim dibbuk
dicta dictum
didoes Dido
diereses dieresis
dieses diesis
differentiae differentia
dilettanti dilettante
dingoes dingo
diplococci diplococcus
disci discus
dive diva
diverticula diverticulum
divertimenti divertimento
djinn djinni
djinn djinny
dodoes dodo
dogfishes dogfish
dogmata dogma
dogteeth dogtooth
dollarfishes dollarfish
domatia domatium
dominoes domino
dormice dormouse
dorsa dorsum
drachmae drachma
drawknives drawknife
drosophilae drosophila
drumfishes drumfish
dryades dryad
dui duo
duodenums duodena duodenum
duonas duona duodenum
dwarves dwarf
dybbukkim dybbuk
ecchymoses ecchymosis
ecdyses ecdysis
echidnae echidna
echini echinus
echinococci echinococcus
echoes echo
ectozoa ectozoan
eddoes eddo
effluvia effluvium
eisegeses eisegesis
eisteddfodau eisteddfod
ellipses ellipsis
elves elf
elytra elytron
embargoes embargo
emboli embolus
emphases emphasis
emporia emporium
enarthroses enarthrosis
encephala encephalon
encephalitides encephalitis
enchiridia enchiridion
enchondromata enchondroma
encomia encomium
endamebae endameba
endamoebae Endamoeba
endocardia endocardium
endocrania endocranium
endometria endometrium
endostea endosteum
endothelia endothelium
endozoa endozoan
enemata enema
entases entasis
entera enteron
entozoa entozoan
entozoa entozoon
epentheses epenthesis
ephemera ephemeron
ephemerae ephemera
ephemerides ephemeris
epicalyces epicalyx
epicanthi epicanthus
epicardia epicardium
epididymides epididymis
epigastria epigastrium
epiglottides epiglottis
epiphenomena epiphenomenon
epiphyses epiphysis
epithalamia epithalamium
epithelia epithelium
epitheliomata epithelioma
epizoa epizoan
epizoa epizoon
equilibria equilibrium
equiseta Equisetum
eringoes eringo
errata erratum
eryngoes eryngo
etyma etymon
eucalypti eucalyptus
exanthemata exanthema
executrices executrix
exegeses exegesis
exordia exordium
exostoses exostosis
extrema extremum
eyeteeth eyetooth
faciae facia
faculae facula
faeroese Faeroese
famuli famulus
faroese Faroese
farragoes farrago
fasciae fascia
fasciculi fasciculus
fathers-in-law father-in-law
fatsoes fatso
faunae fauna
feculae fecula
feet foot
fellahin fellaheen fellah
femora femur
fenestellae fenestella
fenestrae fenestra
feriae feria
fermate fermata
festschriften festschrift
fezzes fez
fiascoes fiasco
fibromata fibroma
fibulae fibula
fieldmice fieldmouse
fila filum
filariiae filaria
filefishes filefish
fimbriae fimbria
fishes fish
fishwives fishwife
fistulae fistula
flagella flagellum
flagstaves flagstaff
flambeaux flambeau
flamines flamen
flamingoes flamingo
flatfeet flatfoot
flatfishes flatfish
fleurs-de-lis fleur-de-lis
fleurs-de-lys fleur-de-lys
flights_of_stairs flight_of_stairs
florae flora
florilegia florilegium
flyleaves flyleaf
foci focus
folia folium
fora forum
foramina foramen
forceps forceps
forefeet forefoot
formulae formula
fornices fornix
fossae fossa
foveae fovea
frauen Frau
frescoes fresco
fricandeaux fricandeau
frijoles frijol
frogfishes frogfish
frusta frustum
fuci fucus
fulcra fulcrum
fundi fundus
fungi fungus
funiculi funiculus
furculae furcula
galeae galea
gametangia gametangium
gametoecia gametoecium
ganglia ganglion
garfishes garfish
gasses gas gas
gastrulae gastrula
gateaux gateau
gazeboes gazebo
geckoes gecko
geese goose
gelsemia Gelsemium
gemboks gemsbok
gembucks gemsbuck
gemmae gemma
geneses genesis
genii genius
gentes gens
gentlemen-at-arms gentleman-at-arms
genua genu
genus genera genus
gestalten gestalt
ghettoes ghetto
gingivae gingiva
gingkoes gingko
ginglymi ginglymus
ginkgoes ginkgo
glabellae glabella
gladioli gladiolus
glandes glans
gliomata glioma
glissandi glissando
globefishes globefish
globigerinae globigerina
glochidia glochidcia glochidium
glomeruli glomerulus
glossae glossa
glottides glottis
glutei gluteus
gnoses gnosis
goatfishes goatfish
godchildren godchild
goes go
goings-over going-over
goldfishes goldfish
gonia gonion
gonococci gonococcus
goosefishes goosefish
governors_general governor_general
goyim goy
gps GPS
grafen Graf
graffiti graffito
grandchildren grandchild
grants-in-aid grant-in-aid
granulomata granuloma
groszy grosz
grottoes grotto
guilders guilder
guitarfishes guitarfish
gummata gumma
gurnards gurnard
gymnasia gymnasium
gynoecia gynoecea gynoecium
gyri gyrus
hadjes hadj
haematolyses haematolysis
haematomata haematoma
haemodialyses haemodialysis
haemolyses haemolysis
haemoptyses haemoptysis
haftaroth Haftarah
hagfishes hagfish
haggadas Haggadah
haggadoth haggadas Haggada
hajjes hajj
haleru haler
halfpence halfpenny
halloth hallot challoth hallah
halluces hallux
haloes halo
halteres halter
halteres haltere
halves half
hangers-on hanger-on
haphtaroth Haphtarah
haredim Haredi
hasidim Hasid
hassidim Hassid
haustoria haustorium
heirs-at-law heir-at-law
helices helix
heliozoa heliozoan
hematolyses hematolysis
hematomata hematoma
hemodialyses hemodialysis
hemolyses hemolysis
hemoptyses hemoptysis
herbaria herbarium
hermae herm
herniae hernia
heroes hero
herren Herr
hila hilum
hili hilus
hippocampi hippocampus
hippopotami hippopotamus
hoboes hobo
hogfishes hogfish
homunculi homunculus
honoraria honorarium
hooves hoof
houses_of_cards house_of_cards
housewives housewife
humeri humerus
hydrae hydra
hydrozoa hydrozoan
hymeniums hymenia hymenium
hymenoptera hymenopteran
hyniums hynia hymenium
hypanthia hypanthium
hyphae hypha
hypnoses hypnosis
hypochondria hypochondrium
hypophyses hypophysis
hypostases hypostasis
hypothalami hypothalamus
hypotheses hypothesis
hyraces hyrax
iambi iamb
ibices ibex
ibo Igbo
ichthyosauruses ichthyosaur
ichthyosauruses ichthyosauri ichthyosaurus
icosahedra icosahedron
ilia ilium
imagoes imagines imago
imperia imperium
incubi incubus
incudes incus
indices index
indigoes indigo
indumenta indumentum
indusia indusium
infundibula infundibulum
innuendoes innuendo
inocula inoculum
intagli intaglio
interleaves interleaf
intermezzi intermezzo
interregna interregnum
intimae intima
involucra involucre
irides iris
irs IRS
ischia ischium
isthmi isthmus
jackknives jackknife
jacks-in-the-box jack-in-the-box
jambeaux jambeau
jellyfishes jellyfish
jewfishes jewfish
jingoes jingo
jinn jinni
judge_advocates_general judge_advocate_general
keeshonden keeshond
kibbutzim kibbutz
killifishes killifish
kingfishes kingfish
knights_bachelors knights_bachelor knight_bachelor
knights_templars knights_templar Knight_Templar
knives knife
kohlrabies kohlrabi
kroner kronen krone
kronur krona
krooni kroon
kylikes kylix
labia labium
lactobacilli lactobacillus
lacunae lacuna
lacunaria lacunar
ladies-in-waiting lady-in-waiting
lamellae lamella
lamiae lamia
laminae lamina
larvae larva
larynges larynx
lassoes lasso
latices latex
latu lati lat
lavaboes lavabo
leaves leaf
leaves leave
lei leu
lemmata lemma
lemnisci lemniscus
lentigines lentigo
lepidoptera lepidopteran
lepta lepton
leptocephali leptocephalus
leucocytozoa leucocytozoan
leva lev
librae Libra
libretti libretto
lice louse
lieder lied
limbi limbus
limina limen
limuli Limulus
lingoes lingo
linguae lingua
linguae_francae lingua_franca
lionfishes lionfish
lipomata lipoma
lire lira
liriodendra Liriodendron
listente lisente sente
litai lit
litai litu litas
litu litai litas
lives life
loaves loaf
loci locus
loculi loculus
loggie loggia
logia logion
loricae lorica
loups-garous loup-garou
luba Luba
lumbi lumbus
lumina lumen
lumpfishes lumpfish
lungfishes lungfish
lunulae lunula
lures lure
lustra lustre
lyings-in lying-in
lymphangitides lymphangitis
lymphomata lymphoma
lymphopoieses lymphopoiesis
lyses lysis
maare maar
macaronies macaroni
macrosporangia macrosporangium
maculae macula
madornos madrono
maestri maestro
mafiosi mafioso
magi magus
magmata magma
magnificoes magnifico
major_axes major-axes major_axis
makuta likuta
mallei malleus
maloti loti
mamillae mamilla
mammae mamma
mammillae mammilla
mangoes mango
manifestoes manifesto
mantes mantis
manubria manubrium
markkaa markka
marsupia marsupium
marvels-of-peru marvel-of-Peru
mass_media mass_medium
masses mass
masses masse
masters-at-arms master-at-arms
matrices matrix
matzoth matzo
mausolea mausoleum
maxillae maxilla
maxima maximum
media medium
mediastina mediastinum
medullae medulla
medullae_oblongatae medulla_oblongata
medusae medusa
megasporangia megasporangium
megilloth megillah
meioses meiosis
melanomata melanoma
mementoes memento
memoranda memorandum
men man
men-at-arms man-at-arms
men-of-war men-o'-war man-of-war
men_of_letters man_of_letters
menisci meniscus
menservants manservant
menstrua menstruum
mesdames madame
mesdemoiselles mademoiselle
messieurs Monsieur
mestizoes mestizo
metacarpi metacarpus
metamorphoses metamorphosis
metastases metastasis
metatarsi metatarsus
metatheses metathesis
metazoa metazoan
metempsychoses metempsychosis
metencephala metencephalon
mezuzoth mezuzah
miasmata miasma
mice mouse
micrococci Micrococcus
microsporangia microsporangium
midrashim Midrash
midwives midwife
milia milium
milieux milieu
millennia millennium
minae mina
minima minimum
minutiae minutia
minyanim minyan
mioses miosis
mishnayoth Mishna
mishnayoth Mishnah
mitochondria mitochondrion
mitzvoth mitzvah
modioli modiolus
moduli modulus
momenta momentum
moments_of_truth moment_of_truth
momi Momus
monades monad
monades monas
monkfishes monkfish
monsignori Monsignor
moonfishes moonfish
moratoria moratorium
morceaux morceau
morphallaxes morphallaxis
morses Mors
morses Morse
morulae morula
moshavim moshav
moslims moslim Moslem
mosquitoes mosquito
mothers-in-law mother-in-law
mothers_superior mother_superior
mottoes motto
movers_and_shakers mover_and_shaker
mucosae mucosa
mulattoes mulatto
muskallunge muskellunge
mycelia mycelium
mycobacteria mycobacterium
myelencephala myelencephalon
myiases myiasis
myocardia myocardium
myofibrillae myofibrilla
myomata myoma
myoses myosis
myrmidones myrmidon
myxomata myxoma
naiades naiad
narcissi narcissus
nares naris
nasopharynges nasopharynx
natatoria natatorium
naumachiae naumachia
nautili nautilus
navahoes Navaho
navajoes Navajo
nebulae nebula
necropoleis necropolis
needlefishes needlefish
negroes Negro
nemeses nemesis
nereides Nereid
neurohypophyses neurohypophysis
neuromata neuroma
neuroptera neuropteron
neuroses neurosis
nevi nevus
nibelungen Nibelung
nidi nidus
nilgai nilgai
nimbi nimbus
noctilucae noctiluca
noes no
noumena noumenon
novae nova
novelle novella
novenae novena
nucelli nucellus
nuchae nucha
nuclei nucleus
nucleoli nucleolus
nulliparae nullipara
numbfishes numbfish
numina numen
oarfishes oarfish
oases oasis
objets_d'art objet_d'art
obligati obligato
oboli obolus
occipita occiput
oceanides Oceanid
ocelli ocellus
octahedra octahedron
octopi octopus
oculi oculus
oedemata edemata edema
oedemata oedema
oesophagi esophagi esophagus
oesophagi oesophagus
oldwives oldwife
omasa omasum
omayyades Omayyad
omenta omentum
ommatidia ommatidium
ommiades Ommiad
onagri onager
opercula operculum
optic_axes optic_axis
optima optimum
organa organon
orthoptera orthopteron
ossa osar ora os
osteomata osteoma
ottomans ottoman
ova ovum
ovoli ovolo
ovotestes ovotestis
oxen ox
oxymora oxymoron
paddlefishes paddlefish
paise paisa
palestrae palestra
palingeneses palingenesis
pallia pallium
palmettoes palmetto
paparazzi paparazzo
paperknives paperknife
papillae papilla
papillomata papilloma
pappi pappus
papyri papyrus
paraleipses paraleipsis
paraleipses paralipsis
paralyses paralysis
paramecia paramecium
paraphyses paraphysis
parapodia parapodium
parapraxes parapraxis
parazoa parazoan
parentheses parenthesis
parhelia parhelion
parietes paries
parrotfishes parrotfish
pasos_dobles paso_doble
passers-by passer-by
pastorali pastorale
patellae patella
patinae patina
patresfamilias paterfamilias
pease pea
peccadilloes peccadillo
pedes pes
pekingese Pekinese
pelves pelvis
pence penny
penes penis
penetralia penetralium
penicillia Penicillium
penknives penknife
pennia penni
pentahedra pentahedron
pentimenti pentimento
penumbrae penumbra
pepla peplum
pericardia pericardium
peridia peridium
perigonia perigonium
perihelia perihelion
perinea perineum
periostea periosteum
periphrases periphrasis
peristalses peristalsis
perithecia perithecium
peritonea peritoneum
personae persona
petechiae petechia
pfennige pfennig
phalanges phalanx
phalli phallus
pharynges pharynx
phenomena phenomenon
philodendra philodendron
phyla phylum
phylae phyle
phylloxerae Phylloxera
phylogeneses phylogenesis
pieds-a-terre pied-a-terre
pigfishes pigfish
pilei pileus
pineta pinetum
pinfishes pinfish
pinkoes pinko
pinnae pinna
pipefishes pipefish
pithecanthropi Pithecanthropus
placeboes placebo
placentae placenta
planetaria planetarium
planulae planula
plasmodia plasmodium
plateaux plateau
plectra plectron
plectra plectrum
plena plenum
pleurae pleura
plicae plica
ploughmen ploughman
ploughmen plowman
pneumococci pneumococcus
pocketknives pocketknife
podetia podetium
podia podium
pollices pollex
pollinia pollinium
polyhedra polyhedron
polypi polypus
polyzoa polyzoan
pontes pons
pontifices pontifex
porticoes portico
portmanteaux portmanteau
potatoes potato
praenomina praenomen
praxes praxis
primi primo
primigravidae primigravida
primiparae primipara
primordia primordium
proboscides proboscis
prognoses prognosis
prolegomena prolegomenon
prolepses prolepsis
promycelia promycelium
pronuclei pronucleus
propositi propositus
proscenia proscenium
prosencephala prosencephalon
prostheses prosthesis
prothalamia prothalamion
prothalamia prothalamium
prothoraces prothorax
protozoa protozoan
provisoes proviso
psalteria psalterium
pseudopodia pseudopodium
psychoneuroses psychoneurosis
psychoses psychosis
pterygia pterygium
ptoses ptosis
pubes pubis
pudenda pudendum
puli pul
pupae pupa
putamina putamen
pycnidia pycnidium
pylori pylorus
pyxides pyxis
pyxidia pyxidium
quadrennia quadrennium
quanta quantum
quarterstaves quarterstaff
quinquennia quinquennium
quizzes quiz
rabatos rabato
rabatos rebato
rabbitfishes rabbitfish
radices radix
radii radius
rami ramus
ranulae ranula
ranunculi Ranunculus
raphae raphe
recta rectum
recti rectus
redfishes redfish
referenda referendum
reguli Regulus
reis reales real
relata relatum
reseaux reseau
residua residuum
retia rete
reticula reticulum
retinae retina
rhabdomyomata rhabdomyoma
rhachises rachis
rhinencephala rhinencephalon
rhizobia Rhizobium
rhombi rhombus
rhonchi rhonchus
ribbonfishes ribbonfish
rickettsiae rickettsia
rilievi rilievo
rimae rima
robes-de-chambre robe-de-chambre
rockfishes rockfish
roma ROM
rondeaux rondeau
rosefishes rosefish
rostra rostrum
rouleaux rouleau
rugae ruga
rumina rumen
runners-up runner-up
sacra sacrum
saguaros saguaro
saguaros sahuaro
sailfishes sailfish
salespeople salesperson
salmonellae salmonella
salpae salpa
salpinges salpinx
salvoes salvo
sancta sanctum
sanitaria sanitarium
santimi santims
sarcophagi sarcophagus
sartorii sartorius
sawfishes sawfish
scaleni scalenus
scapulae scapula
scarabaei scarabaeus
scarves scarf
schemata schema
scherzi scherzo
schmoes schmo
scholia scholium
schutzstaffeln Schutzstaffel
scleroses sclerosis
sclerotia sclerotium
scoriae scoria
scotomata scotoma
scriptoria scriptorium
scrota scrotum
scyphi scyphus
scyphozoa scyphozoan
secondi secondo
segni segno
selves self
senores Senor
senti sent
separatrices separatrix
sephardim Sephardi
septa septum
sequelae sequela
sera serum
seraphim seraph
setae seta
sgraffiti sgraffito
shakoes shako
sheatfishes sheatfish
sheaves sheaf
shellfishes shellfish
shelves shelf
shinleaves shinleaf
shittim shittah
shmoes shmo
shofroth shofar
shofroth shophroth shophar
shophroth shofroth shophar
shrewmice shrewmouse
signore signora
signori signior
signori signore
signorine signorina
siliquae siliqua
silvae silva
silverfishes silverfish
simulacra simulacrum
sincipita sinciput
sisters-in-law sister-in-law
snailfishes snailfish
snipefishes snipefish
solaria solarium
soles sol
soles sole
solfeggi solfeggio
soli solo
solidi solidus
somata soma
sons-in-law son-in-law
soprani soprano
sordini sordino
sori sorus
spadefishes spadefish
spadices spadix
spearfishes spearfish
spectra spectrum
specula speculum
spermatozoa spermatozoon
sphinges sphinx
spicae Spica
spicula spiculum
spirilla spirillum
splayfeet splayfoot
splenii splenius
sporangia sporangium
sporozoa sporozoan
sputa sputum
squamae squama
squashes squash
squillae squilla
squirrelfishes squirrelfish
stadia stadium
stamina stamen
stapedes stapes
staphylococci staphylococcus
starfishes starfish
startsy staretsy starets
stelae stele
stemmata stemma
stenoses stenosis
stepchildren stepchild
sterna sternum
stigmata stigma
stimuli stimulus
stockfishes stockfish
stomata stoma
stonefishes stonefish
stotkini stotinki stotinka
strappadoes strappado
strata stratum
strati stratus
street_children street_child
streptococci streptococcus
striae stria
strobili strobilus
stromata stroma
strumae struma
stuccoes stucco
styli stylus
stylopodia stylopodium
subgenera subgenus
submucosae submucosa
subphyla subphylum
substrasta substratum
substratums substrata substratum
succedanea succedaneum
succubi succubus
suckerfishes suckerfish
sudatoria sudatorium
sulci sulcus
sunfishes sunfish
supercargoes supercargo
supernovae supernova
superstrata superstratum
surgeonfishes surgeonfish
swamies swami
swordfishes swordfish
syconia syconium
syllabi syllabus
syllepses syllepsis
symphyses symphysis
symposia symposium
synapses synapsis
syncytia syncytium
synopses synopsis
syntagmata syntagma
syntheses synthesis
syringes syrinx
tableaux tableau
taeniae taenia
taeniae teniae tenia
tali talus
tallitoth tallithes tallaisim tallith
tarantulae tarantula
tarsi tarsus
taxa taxon
taxes tax
taxes taxis
taxies taxi
teeth tooth
telamones telamon
tempi tempo
tenderfeet tenderfoot
teniae taeniae tenia
terata teras
teredines teredo
termini terminus
terraria terrarium
terzetti terzetto
tesserae tessera
testae testa
testes testis
testudines testudo
tetrahedra tetrahedron
tetraskelia tetraskelion
thalami thalamus
thalli thallus
thecae theca
therses thyrse
thesauri thesaurus
theses thesis
thieves thief
thoraces thorax
thrombi thrombus
thymi thymus
thyrsi thyrsus
tibiae tibia
tilefishes tilefish
titmice titmouse
toadfishes toadfish
tobaccoes tobacco
tomatoes tomato
tomenta tomentum
tophi tophus
topoi topos
tori torus
tornadoes tornado
torpedoes torpedo
torsi torso
touracos touraco
touracos turaco
trabeculae trabecula
tracheae trachea
tragi tragus
trapezia trapezium
trapezohedra trapezohedron
traumata trauma
treponemata treponema
trichinae trichina
triclinia triclinium
triggerfishes triggerfish
triskelia triskelion
triumviri triumvir
trivia trivium
tropaeola Tropaeolum
trous-de-loup trou-de-loup
trousseaux trousseau
trunkfishes trunkfish
tubae tuba
turves turf
tympana tympanum
tyros tiro
tyros tyro
ubermenschen Ubermensch
uglies ugli
uigurs Uighur
ulnae ulna
ultimata ultimatum
umbilici umbilicus
umbones umbo
umbrae umbra
unci uncus
urethrae urethra
urinalyses urinalysis
uteri uterus
utriculi utriculus
uvulae uvula
vacua vacuum
